gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4953152623	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245320559	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.579262	-105.362314	8.0						2024-10-02T20:24	2	10	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	245320559		OmriB	2024-10-02T23:59:14	CC_BY_NC_4_0	OmriB	OmriB			2024-11-25T06:57:50.457Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952412322	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/242378451	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.334933	-105.46585	4.0						2024-09-17T11:22:37	17	9	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	242378451		Dan Jackson	2024-09-17T22:44:07	CC_BY_NC_4_0	Dan Jackson	Dan Jackson			2024-11-25T07:30:03.913Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952372205	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246367128	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.830187	-105.421312	2565.0						2024-10-06T12:41:37	6	10	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	246367128		Ari Rice	2024-10-08T19:51:20	CC_BY_NC_4_0	Ari Rice	Ari Rice			2024-11-25T06:59:44.710Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950314989	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/242504312	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.429647	-105.512187	15.0						2024-09-17T09:02	17	9	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	242504312		Phyllis Holst	2024-09-18T15:29:08	CC_BY_NC_4_0	Phyllis Holst	Phyllis Holst			2024-11-25T06:59:05.979Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946272826	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/89505958	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.339929	-105.573378	224.0						2021-07-25T15:55:15	25	7	2021	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	89505958		Phillip Salzinger	2021-08-01T17:16:15	CC0_1_0	Phillip Salzinger	Phillip Salzinger			2024-11-25T06:38:11.101Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945907338	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/161933228	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.321269	-105.606787	66.0						2023-05-01T16:59:27	1	5	2023	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	161933228		Daniel Hetzel	2023-05-16T06:03:41	CC0_1_0	Daniel Hetzel	Daniel Hetzel			2024-11-25T07:20:13.969Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945536027	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240042541	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.389496	-105.491653	100.0						2024-09-05T16:02:19	5	9	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	240042541		queenbdesigns	2024-09-05T22:02:23	CC_BY_NC_4_0	queenbdesigns	queenbdesigns			2024-11-25T06:56:58.841Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4937136358	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237303487	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.403764	-105.460429	27939.0						2024-08-09T12:12:03	9	8	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	237303487		Matt Gruen	2024-08-22T16:17:44	CC_BY_NC_4_0	Matt Gruen	Matt Gruen			2024-11-25T06:58:42.379Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936377215	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/67146768	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.34614	-105.859458	5.0						2020-12-27T10:59:34	27	12	2020	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	67146768		danpatrick	2020-12-27T18:01:23	CC_BY_4_0	danpatrick	danpatrick			2024-11-25T07:06:01.929Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936149228	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76618765	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.72121	-105.151497	123.0						2021-04-30T11:18Z	30	4	2021	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	76618765		Barbra Schuessler Sobhani	2021-05-02T17:49:21	CC_BY_NC_4_0	Barbra Schuessler Sobhani	Barbra Schuessler Sobhani			2024-11-25T07:06:03.694Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935794996	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237098591	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.42816	-105.519197							2024-08-20T08:32	20	8	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	237098591		David Martin	2024-08-21T13:49:51	CC_BY_NC_4_0	David Martin	David Martin			2024-11-25T06:57:17.851Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4924140540	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/230663040	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.063143	-105.40951	4.0						2024-07-20T19:31:17	20	7	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	230663040		mbkfrog	2024-07-21T03:56:26	CC_BY_NC_4_0	mbkfrog	mbkfrog			2024-11-25T06:56:01.476Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4924138982	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/231078270	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens		SPECIES	Picea pungens Engelm.	Picea pungens		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.131313	-105.441691	31.0						2024-07-22T08:55	22	7	2024	5284871	5284871	HUMAN_OBSERVATION	iNaturalist	Observations	231078270		Phyllis Holst	2024-07-22T21:31:55	CC_BY_NC_4_0	Phyllis Holst	Phyllis Holst			2024-11-25T06:58:56.562Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
