File,aid,Date,1,2,11,51,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,201,202,203,204
SRTMGL1_NUM_2000042_aid0001,aid0001,2000-02-11,262,30598,240,59,4,15,42,58,129,196,266,365,476,703,763,813,841,607,349,284,199,96,55,31,38,47,41616,1146592,1293570,110076
