File,aid,Date,-124,-123,-55,-54,-53,-6,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,62,65,66,67,68,69,70,71,72,73,74,75,76,78
ASTER_GDEM_NUM_2000061_aid0001,aid0001,2000-03-01,2,6,195,168,9,2319,13,20,34,105,196,663,1336,3282,8247,21716,56898,114949,163829,174608,192583,183047,143207,124869,121163,113062,116315,166551,226053,246685,165438,120248,74906,47782,26871,10824,1028,94,1,3,1,9,15,6,7,1,4,10,5,5,1,1
